Australian Life Tables 2020-22: Females,,,,,,,,,,,,,,,,,,,
Age,lx,dx,px,qx,µx, e?x,Lx,Tx,,,,,,,,,,,
26," 99,342 ", 25 ,0.999745,0.000255,0.000252,59.84," 99,329 "," 5,944,938 ",,,,,,,,,,,
27," 99,317 ", 26 ,0.999736,0.000264,0.000259,58.86," 99,304 "," 5,845,608 ",,,,,,,,,,,
28," 99,290 ", 28 ,0.999721,0.000279,0.000271,57.87," 99,277 "," 5,746,305 ",,,,,,,,,,,
29," 99,263 ", 29 ,0.999704,0.000296,0.000287,56.89," 99,248 "," 5,647,028 ",,,,,,,,,,,
30," 99,233 ", 31 ,0.999685,0.000315,0.000305,55.91," 99,218 "," 5,547,780 ",,,,,,,,,,,
31," 99,202 ", 34 ,0.999662,0.000338,0.000326,54.92," 99,186 "," 5,448,562 ",,,,,,,,,,,
32," 99,169 ", 36 ,0.999637,0.000363,0.000350,53.94," 99,151 "," 5,349,376 ",,,,,,,,,,,
33," 99,133 ", 39 ,0.999608,0.000392,0.000377,52.96," 99,113 "," 5,250,225 ",,,,,,,,,,,
34," 99,094 ", 42 ,0.999575,0.000425,0.000408,51.98," 99,073 "," 5,151,112 ",,,,,,,,,,,
35," 99,052 ", 46 ,0.999538,0.000462,0.000443,51.00," 99,029 "," 5,052,039 ",,,,,,,,,,,
36," 99,006 ", 50 ,0.999497,0.000503,0.000482,50.03," 98,981 "," 4,953,010 ",,,,,,,,,,,
37," 98,956 ", 54 ,0.999452,0.000548,0.000525,49.05," 98,929 "," 4,854,029 ",,,,,,,,,,,
38," 98,902 ", 59 ,0.999401,0.000599,0.000573,48.08," 98,873 "," 4,755,099 ",,,,,,,,,,,
39," 98,843 ", 65 ,0.999346,0.000654,0.000626,47.11," 98,811 "," 4,656,227 ",,,,,,,,,,,
40," 98,778 ", 71 ,0.999285,0.000715,0.000684,46.14," 98,743 "," 4,557,416 ",,,,,,,,,,,
41," 98,707 ", 77 ,0.999218,0.000782,0.000748,45.17," 98,669 "," 4,458,673 ",,,,,,,,,,,
42," 98,630 ", 84 ,0.999145,0.000855,0.000818,44.21," 98,589 "," 4,360,004 ",,,,,,,,,,,
43," 98,546 ", 92 ,0.999066,0.000934,0.000894,43.24," 98,500 "," 4,261,415 ",,,,,,,,,,,
44," 98,454 ", 100 ,0.998981,0.001019,0.000976,42.28," 98,404 "," 4,162,915 ",,,,,,,,,,,
45," 98,353 ", 109 ,0.998889,0.001111,0.001064,41.33," 98,300 "," 4,064,510 ",,,,,,,,,,,
46," 98,244 ", 119 ,0.998789,0.001211,0.001160,40.37," 98,186 "," 3,966,211 ",,,,,,,,,,,
47," 98,125 ", 129 ,0.998682,0.001318,0.001264,39.42," 98,061 "," 3,868,025 ",,,,,,,,,,,
48," 97,996 ", 140 ,0.998568,0.001432,0.001375,38.47," 97,927 "," 3,769,964 ",,,,,,,,,,,
49," 97,856 ", 152 ,0.998446,0.001554,0.001493,37.53," 97,780 "," 3,672,037 ",,,,,,,,,,,
50," 97,703 ", 165 ,0.998315,0.001685,0.001619,36.58," 97,622 "," 3,574,257 ",,,,,,,,,,,
51," 97,539 ", 178 ,0.998176,0.001824,0.001755,35.64," 97,451 "," 3,476,634 ",,,,,,,,,,,
52," 97,361 ", 192 ,0.998028,0.001972,0.001898,34.71," 97,266 "," 3,379,183 ",,,,,,,,,,,
53," 97,169 ", 207 ,0.997869,0.002131,0.002052,33.78," 97,067 "," 3,281,917 ",,,,,,,,,,,
54," 96,962 ", 223 ,0.997698,0.002302,0.002217,32.85," 96,852 "," 3,184,851 ",,,,,,,,,,,
55," 96,739 ", 241 ,0.997513,0.002487,0.002395,31.92," 96,620 "," 3,087,999 ",,,,,,,,,,,
56," 96,498 ", 259 ,0.997312,0.002688,0.002588,31.00," 96,370 "," 2,991,379 ",,,,,,,,,,,
57," 96,239 ", 280 ,0.997092,0.002908,0.002799,30.08," 96,101 "," 2,895,009 ",,,,,,,,,,,
58," 95,959 ", 302 ,0.996853,0.003147,0.003029,29.17," 95,810 "," 2,798,909 ",,,,,,,,,,,
59," 95,657 ", 326 ,0.996593,0.003407,0.003279,28.26," 95,496 "," 2,703,099 ",,,,,,,,,,,
60," 95,331 ", 352 ,0.996310,0.003690,0.003551,27.35," 95,157 "," 2,607,603 ",,,,,,,,,,,
61," 94,979 ", 380 ,0.996001,0.003999,0.003847,26.45," 94,792 "," 2,512,446 ",,,,,,,,,,,
62," 94,599 ", 410 ,0.995665,0.004335,0.004171,25.56," 94,397 "," 2,417,654 ",,,,,,,,,,,
63," 94,189 ", 443 ,0.995301,0.004699,0.004522,24.67," 93,971 "," 2,323,257 ",,,,,,,,,,,
64," 93,747 ", 477 ,0.994907,0.005093,0.004903,23.78," 93,511 "," 2,229,286 ",,,,,,,,,,,
65," 93,269 ", 515 ,0.994480,0.005520,0.005315,22.90," 93,015 "," 2,135,775 ",,,,,,,,,,,
66," 92,754 ", 555 ,0.994019,0.005981,0.005759,22.02," 92,480 "," 2,042,760 ",,,,,,,,,,,
67," 92,200 ", 600 ,0.993490,0.006510,0.006244,21.15," 91,904 "," 1,950,280 ",,,,,,,,,,,
68," 91,599 ", 661 ,0.992780,0.007220,0.006863,20.29," 91,274 "," 1,858,376 ",,,,,,,,,,,
69," 90,938 ", 733 ,0.991942,0.008058,0.007653,19.43," 90,578 "," 1,767,102 ",,,,,,,,,,,
70," 90,205 ", 807 ,0.991056,0.008944,0.008527,18.59," 89,808 "," 1,676,524 ",,,,,,,,,,,
71," 89,398 ", 885 ,0.990098,0.009902,0.009452,17.75," 88,963 "," 1,586,716 ",,,,,,,,,,,
72," 88,513 ", 972 ,0.989020,0.010980,0.010472,16.92," 88,035 "," 1,497,753 ",,,,,,,,,,,
73," 87,541 "," 1,070 ",0.987774,0.012226,0.011639,16.10," 87,015 "," 1,409,718 ",,,,,,,,,,,
74," 86,471 "," 1,184 ",0.986313,0.013687,0.013001,15.30," 85,889 "," 1,322,703 ",,,,,,,,,,,
75," 85,288 "," 1,314 ",0.984588,0.015412,0.014608,14.50," 84,642 "," 1,236,814 ",,,,,,,,,,,
76," 83,973 "," 1,465 ",0.982553,0.017447,0.016510,13.72," 83,254 "," 1,152,172 ",,,,,,,,,,,
77," 82,508 "," 1,637 ",0.980162,0.019838,0.018754,12.96," 81,705 "," 1,068,918 ",,,,,,,,,,,
78," 80,871 "," 1,830 ",0.977370,0.022630,0.021391,12.21," 79,973 "," 987,213 ",,,,,,,,,,,
79," 79,041 "," 2,045 ",0.974131,0.025869,0.024468,11.48," 78,037 "," 907,240 ",,,,,,,,,,,
80," 76,996 "," 2,279 ",0.970403,0.029597,0.028037,10.77," 75,877 "," 829,203 ",,,,,,,,,,,
81," 74,718 "," 2,530 ",0.966145,0.033855,0.032143,10.08," 73,474 "," 753,325 ",,,,,,,,,,,
82," 72,188 "," 2,794 ",0.961292,0.038708,0.036840,9.42," 70,814 "," 679,851 ",,,,,,,,,,,
83," 69,394 "," 3,075 ",0.955691,0.044309,0.042250,8.78," 67,880 "," 609,038 ",,,,,,,,,,,
84," 66,319 "," 3,371 ",0.949171,0.050829,0.048563,8.16," 64,659 "," 541,157 ",,,,,,,,,,,
85," 62,948 "," 3,678 ",0.941568,0.058432,0.055974,7.57," 61,135 "," 476,499 ",,,,,,,,,,,
86," 59,270 "," 3,987 ",0.932727,0.067273,0.064680,7.01," 57,302 "," 415,364 ",,,,,,,,,,,
87," 55,283 "," 4,284 ",0.922504,0.077496,0.074878,6.48," 53,164 "," 358,062 ",,,,,,,,,,,
88," 50,998 "," 4,549 ",0.910805,0.089195,0.086753,5.98," 48,744 "," 304,898 ",,,,,,,,,,,
89," 46,450 "," 4,752 ",0.897689,0.102311,0.100388,5.51," 44,087 "," 256,154 ",,,,,,,,,,,
90," 41,697 "," 4,868 ",0.883256,0.116744,0.115749,5.09," 39,269 "," 212,067 ",,,,,,,,,,,
91," 36,829 "," 4,876 ",0.867609,0.132391,0.132794,4.69," 34,387 "," 172,798 ",,,,,,,,,,,
92," 31,954 "," 4,766 ",0.850854,0.149146,0.151485,4.33," 29,556 "," 138,411 ",,,,,,,,,,,
93," 27,188 "," 4,538 ",0.833101,0.166899,0.171784,4.00," 24,895 "," 108,854 ",,,,,,,,,,,
94," 22,650 "," 4,203 ",0.814458,0.185542,0.193648,3.71," 20,517 "," 83,959 ",,,,,,,,,,,
95," 18,448 "," 3,781 ",0.795019,0.204981,0.217058,3.44," 16,519 "," 63,442 ",,,,,,,,,,,
96," 14,666 "," 3,300 ",0.775017,0.224983,0.241938,3.20," 12,974 "," 46,923 ",,,,,,,,,,,
97," 11,367 "," 2,785 ",0.754977,0.245023,0.267891,2.99," 9,931 "," 33,949 ",,,,,,,,,,,
98," 8,581 "," 2,272 ",0.735287,0.264713,0.294302,2.80," 7,404 "," 24,018 ",,,,,,,,,,,
99," 6,310 "," 1,791 ",0.716218,0.283782,0.320737,2.63," 5,377 "," 16,614 ",,,,,,,,,,,
100," 4,519 "," 1,365 ",0.697936,0.302064,0.346864,2.49," 3,804 "," 11,238 ",,,,,,,,,,,
101," 3,154 "," 1,008 ",0.680515,0.319485,0.372464,2.36," 2,623 "," 7,434 ",,,,,,,,,,,
102," 2,146 ", 721 ,0.663943,0.336057,0.397427,2.24," 1,765 "," 4,810 ",,,,,,,,,,,
103," 1,425 ", 501 ,0.648141,0.351859,0.421758,2.14," 1,159 "," 3,046 ",,,,,,,,,,,
104, 924 , 339 ,0.632965,0.367035,0.445565,2.04, 743 ," 1,887 ",,,,,,,,,,,
105, 585 , 223 ,0.618217,0.381783,0.469090,1.96, 465 ," 1,144 ",,,,,,,,,,,
106, 361 , 143 ,0.604024,0.395976,0.492447,1.88, 284 , 679 ,,,,,,,,,,,
107, 218 , 89 ,0.590444,0.409556,0.515329,1.81, 170 , 395 ,,,,,,,,,,,
108, 129 , 54 ,0.577462,0.422538,0.537651,1.74, 99 , 225 ,,,,,,,,,,,
109, 74 , 32 ,0.565070,0.434930,0.559408,1.68, 57 , 125 ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
